Summary,Issue key,modified
SCPM IT5 - Numeric Key 1-9 Active When Cancel Mask (& Display) in Bunch Cheque Accept State,AANDC-7209,- SCPM IT5 - Numeric Key 1-9 Active When Cancel Mask (& Display) in Bunch Cheque Accept State
SCPM: Bunch Cheque flows are journalling U0058 screen without dynamic data.,AANDC-7208,- SCPM: Bunch Cheque flows are journalling U0058 screen without dynamic data.
BunchChequeHandling flow unit test fails using payment processor. ,AANDC-7207,- BunchChequeHandling flow unit test fails using payment processor. 
SCPM - Issue with image printing of cheques returned in transaction reply function,AANDC-7198,- SCPM - Issue with image printing of cheques returned in transaction reply function
SCPM IT5 - Unexpected Behaviour when Returned Cheque Taken Just as it is being Retracted,AANDC-7196,- SCPM IT5 - Unexpected Behaviour when Returned Cheque Taken Just as it is being Retracted
q3N Unsol is not observed on reboot when cheque is still in transport,AANDC-7193,- q3N Unsol is not observed on reboot when cheque is still in transport
"SCPM: when jam occurs clearing cheques at SoD, unsol msg is not clear that it is a SoD scenario",AANDC-7191,"- SCPM: when jam occurs clearing cheques at SoD, unsol msg is not clear that it is a SoD scenario"
SCPM: For PCI compliance the BunchChequeAcceptService and ImageMarkDepositRecorder archive/backup directories need to be encrypted,AANDC-7190,- SCPM: For PCI compliance the BunchChequeAcceptService and ImageMarkDepositRecorder archive/backup directories need to be encrypted
SCPM: Re-work clearing the ScannedCheques array for better synchronisation with StatusHandler,AANDC-7187,- SCPM: Re-work clearing the ScannedCheques array for better synchronisation with StatusHandler
SCPM FxCop issues in BunchChequeTransactionReply code,AANDC-7182,- SCPM FxCop issues in BunchChequeTransactionReply code
SCPM - cheque ID 000 is accepted even when it is present in the second cheque group in buffer B,AANDC-7181,- SCPM - cheque ID 000 is accepted even when it is present in the second cheque group in buffer B
SCPM IT4 - Cheque at Exit/Sensor Blocked at Accept State Does not Report any Unsol,AANDC-7178,- SCPM IT4 - Cheque at Exit/Sensor Blocked at Accept State Does not Report any Unsol
SCPM: Status Handler does not send Retract unsol from Close State in case when cheques are retained from stacker,AANDC-7175,- SCPM: Status Handler does not send Retract unsol from Close State in case when cheques are retained from stacker
SCPM IT - Timeout and Cancel Unsols are Only Reported in Bunch Cheque Accept State,AANDC-7172,- SCPM IT - Timeout and Cancel Unsols are Only Reported in Bunch Cheque Accept State
Ensure that retracted cheques are stored into Bin2 by default,AANDC-7170,- Ensure that retracted cheques are stored into Bin2 by default
SCPM: Status Handler to include journalling for cheque capture with U0058/U0059 screens,AANDC-7163,- SCPM: Status Handler to include journalling for cheque capture with U0058/U0059 screens
Issue with Customer Entered Amount field in Cheque Details wrapper,AANDC-7157,- Issue with Customer Entered Amount field in Cheque Details wrapper
SCPM: C11 Reject message sent after every cheque related Trans Reply,AANDC-7156,- SCPM: C11 Reject message sent after every cheque related Trans Reply
SCPM: Update the DisplayChequeSummaryState to support display based on screen paging,AANDC-7121,- SCPM: Update the DisplayChequeSummaryState to support display based on screen paging
SCPM: Suppress cheque unsol messages for offline cheque deposit transactions,AANDC-7120,- SCPM: Suppress cheque unsol messages for offline cheque deposit transactions
SCPM: Add timeout exit to bunch cheque handling flow for cheques not taken and not retracted.,AANDC-7119,- SCPM: Add timeout exit to bunch cheque handling flow for cheques not taken and not retracted.
Wrong Screen Displayed when Retracting Cheques in Bunch Cheque Handling State with Media Control set to 000,AANDC-7115,- Wrong Screen Displayed when Retracting Cheques in Bunch Cheque Handling State with Media Control set to 000
NEXT and PREVIOUS Screens are displayed in Cheque Summary Display State when FDK Masks are 000 and more cheques than can be displayed is entered ,AANDC-7114,- NEXT and PREVIOUS Screens are displayed in Cheque Summary Display State when FDK Masks are 000 and more cheques than can be displayed is entered 
Expose more via the ChequeDetails Wrapper,AANDC-7112,- Expose more via the ChequeDetails Wrapper
"SCPM:  Handling and Close States need to be able to exit the state in the case when cheques are configured to be returned and not retracted, but the cheques are not taken",AANDC-7097,"- SCPM:  Handling and Close States need to be able to exit the state in the case when cheques are configured to be returned and not retracted, but the cheques are not taken"
Cheque Accept State - Cancel key not enabled when device re-enabled for cheque input,AANDC-7094,- Cheque Accept State - Cancel key not enabled when device re-enabled for cheque input
Bunch Cheque Accept - Enable Image Processing state parameter ignored.,AANDC-7091,- Bunch Cheque Accept - Enable Image Processing state parameter ignored.
SCPM Close State - does not operate correctly when cheques left in exit slot in previous operation,AANDC-7072,- SCPM Close State - does not operate correctly when cheques left in exit slot in previous operation
cheque depositing to bin1 when left in transport,AANDC-7068,- cheque depositing to bin1 when left in transport
Setting endorse data directly on a cheque item incorrectly copies the internal cheque objects rather than referencing the real objects,AANDC-7067,- Setting endorse data directly on a cheque item incorrectly copies the internal cheque objects rather than referencing the real objects
Reference Manul should provide detail on Cheque Accept State codeline validation,AANDC-7044,- Reference Manul should provide detail on Cheque Accept State codeline validation
Double Beep in Bunch Cheque States when pressing keys,AANDC-7042,- Double Beep in Bunch Cheque States when pressing keys
Cheque Index set during a Cheque Detail Display State doesn't seem to be Initialised between cheque deposit transactions.,AANDC-7041,- Cheque Index set during a Cheque Detail Display State doesn't seem to be Initialised between cheque deposit transactions.
Bunch Cheque Accept State - Rejected cheque reasons functionality missing,AANDC-7040,- Bunch Cheque Accept State - Rejected cheque reasons functionality missing
"SCPM & CPM: For PCI compliance, mask the codeline when the cheque is displayed",AANDC-7036,"- SCPM & CPM: For PCI compliance, mask the codeline when the cheque is displayed"
SCPM: Change the Summary Display State to support the display of only up to 9 cheque details,AANDC-7035,- SCPM: Change the Summary Display State to support the display of only up to 9 cheque details
"SCPM: Update the Detail Display state, Summary Display state and NDCRenderer to support visual indication to cardholders when a cheque is going to be Returned",AANDC-7034,"- SCPM: Update the Detail Display state, Summary Display state and NDCRenderer to support visual indication to cardholders when a cheque is going to be Returned"
SCPM: Update all bunch cheque states to handle the situation where there may be no cheques inserted into the device.,AANDC-7033,- SCPM: Update all bunch cheque states to handle the situation where there may be no cheques inserted into the device.
Add support for the Timeout state to the bunch cheque states,AANDC-7030,- Add support for the Timeout state to the bunch cheque states
Bunch Cheque Accept State - Refused reasons dictionary not displayed,AANDC-7026,- Bunch Cheque Accept State - Refused reasons dictionary not displayed
BunchChequeHandling state endorses with the screen number instead of screen contents,AANDC-7024,- BunchChequeHandling state endorses with the screen number instead of screen contents
ImageMark - Bunch Cheque Handling exports ImageMark file irrespective of the registry value that is used to configure it,AANDC-7023,- ImageMark - Bunch Cheque Handling exports ImageMark file irrespective of the registry value that is used to configure it
Express Recovery - 24v Reset for cheque processing,AANDC-7019,- Express Recovery - 24v Reset for cheque processing
Bunch Cheque Summary State - When more than 'Max Items' cheques are entered the Cheque Summary State displays a 'Phantom' cheque,AANDC-7013,- Bunch Cheque Summary State - When more than 'Max Items' cheques are entered the Cheque Summary State displays a 'Phantom' cheque
Bunch Cheque Accept State - 'Escrow Full Error Screen' displayed when number of cheques entered is same as 'Max Items' ,AANDC-7012,- Bunch Cheque Accept State - 'Escrow Full Error Screen' displayed when number of cheques entered is same as 'Max Items' 
Bunch Cheque Close State - Cheques Retracted regardless of Cheque Retain/Return flag.,AANDC-7011,- Bunch Cheque Close State - Cheques Retracted regardless of Cheque Retain/Return flag.
SCPM: Integrate ImageMarkRecorder into ANDC BunchChequeHandlingState for cheque deposit recording - Linkage with payment system solutions (Passport),AANDC-7009,- SCPM: Integrate ImageMarkRecorder into ANDC BunchChequeHandlingState for cheque deposit recording - Linkage with payment system solutions (Passport)
Bunch Cheque Accept State - Please Wait For Device Screen '000' results in 'More Time' screen being displayed.,AANDC-6995,- Bunch Cheque Accept State - Please Wait For Device Screen '000' results in 'More Time' screen being displayed.
"SCPM: Support for printing multiple cheque images in a transaction receipt, in native NDC bunch cheque deposit sol",AANDC-6975,"- SCPM: Support for printing multiple cheque images in a transaction receipt, in native NDC bunch cheque deposit sol"
PCI-DSS - where a electronic Payments system is used ensure cheque images are stored encrypted,AANDC-6952,- PCI-DSS - where a electronic Payments system is used ensure cheque images are stored encrypted
"SCPM: Make information available to be used in DBS Exception Reports, for offline bunch cheque deposit",AANDC-6938,"- SCPM: Make information available to be used in DBS Exception Reports, for offline bunch cheque deposit"
SCPM: Provide ability for an Exit to rotate/scale a cheque image for subsequently printing on a receipt,AANDC-6937,- SCPM: Provide ability for an Exit to rotate/scale a cheque image for subsequently printing on a receipt
"SCPM: Support for printing a transaction receipt, in offline bunch cheque deposit",AANDC-6910,"- SCPM: Support for printing a transaction receipt, in offline bunch cheque deposit"
SCPM: BunchChequeHandling State,AANDC-6907,- SCPM: BunchChequeHandling State
Second Cheque image is printing as garbage via a Rawdata print on Universal machines with 203dpi (there is no issue on a Personas printer),AANDC-6896,- Second Cheque image is printing as garbage via a Rawdata print on Universal machines with 203dpi (there is no issue on a Personas printer)
Second Cheque image is printing with very bigger size using Forms when trying to print two cheque images on the receipt,AANDC-6885,- Second Cheque image is printing with very bigger size using Forms when trying to print two cheque images on the receipt
First cheque image printing as blackended with Transaction Reply has P01 followed by P00.,AANDC-6866,- First cheque image printing as blackended with Transaction Reply has P01 followed by P00.
CPM Deposit with VG enabled-When i pressed  1on pinpad  to select deposit Cheque option the orientation is going to Amount entry state.,AANDC-6838,- CPM Deposit with VG enabled-When i pressed  1on pinpad  to select deposit Cheque option the orientation is going to Amount entry state.
Quality of cheque image print via a receipt forms print is poor,AANDC-6780,- Quality of cheque image print via a receipt forms print is poor
(ST1) Cheque image shown vertically on Cheque confirmation screen,AANDC-6778,- (ST1) Cheque image shown vertically on Cheque confirmation screen
The same cheque Image are printing on Journal Printer when Forms Printing feature and  EJ with Hard Copy option are enabled,AANDC-6775,- The same cheque Image are printing on Journal Printer when Forms Printing feature and  EJ with Hard Copy option are enabled
''AlwaysPrintChequesOnBack'' and ''CodeLineHeight'' registry keys are not available in UniversalPrinters.reg,AANDC-6683,- ''AlwaysPrintChequesOnBack'' and ''CodeLineHeight'' registry keys are not available in UniversalPrinters.reg
Picture is not taken in the cheque capture flow point by camera.,AANDC-6680,- Picture is not taken in the cheque capture flow point by camera.
Screen displyed after CLRDEPOS and CLRBINS is still showing the cheques deposited counters not the 0's,AANDC-6617,- Screen displyed after CLRDEPOS and CLRBINS is still showing the cheques deposited counters not the 0's
(ST1- CPM) q2E ( Device Error) Status message is received for every successful cheque transaction,AANDC-6596,- (ST1- CPM) q2E ( Device Error) Status message is received for every successful cheque transaction
(ST1 - CPM ): Cheque is not getting Endorsed,AANDC-6591,- (ST1 - CPM ): Cheque is not getting Endorsed
(ST1 - CPM) Cheque is not Getting captured,AANDC-6587,- (ST1 - CPM) Cheque is not Getting captured
Receipt is not delivered for some values of ChequeSizeNormal/ChequeSizeRotated (Dynamic Forms = 1),AANDC-6518,- Receipt is not delivered for some values of ChequeSizeNormal/ChequeSizeRotated (Dynamic Forms = 1)
"When ChequeSizeRotated/ChequeSizeNormal are set to 10, no image is printed on receipt for codeline 1 and 2 (DynamicForms = 0)",AANDC-6453,"- When ChequeSizeRotated/ChequeSizeNormal are set to 10, no image is printed on receipt for codeline 1 and 2 (DynamicForms = 0)"
"By default, Cheque image is printing on journal",AANDC-6452,"- By default, Cheque image is printing on journal"
(CPM):Cheque is getting deposited when we send the CPM_R13A ( invalid message),AANDC-6429,- (CPM):Cheque is getting deposited when we send the CPM_R13A ( invalid message)
CPM Forms Installed in the wrong place (ENDORSE data is not getting printed on the Cheque),AANDC-6419,- CPM Forms Installed in the wrong place (ENDORSE data is not getting printed on the Cheque)
TAR 378972: AA-NDC : add information for printing cheque image on receipt to ref manual,AANDC-6418,- TAR 378972: AA-NDC : add information for printing cheque image on receipt to ref manual
Application getting closed after inserting the Cheque,AANDC-6393,- Application getting closed after inserting the Cheque
"TAR 376710 : INIT DEPOS clears a cheque jam, but leaves device status as fatal",AANDC-6388,"- TAR 376710 : INIT DEPOS clears a cheque jam, but leaves device status as fatal"
TAR 373126: Cheque Image is unreadable on USB Receipt Printer,AANDC-6326,- TAR 373126: Cheque Image is unreadable on USB Receipt Printer
SCPM: Full bunch cheque message interface with host change (NDC Host Control),AANDC-6319,- SCPM: Full bunch cheque message interface with host change (NDC Host Control)
SCPM: DisplayChequeSummary State,AANDC-6318,- SCPM: DisplayChequeSummary State
SCPM: ChequeDetailDisplay State,AANDC-6317,- SCPM: ChequeDetailDisplay State
SCPM: BunchChequeAccept State,AANDC-6316,- SCPM: BunchChequeAccept State
Quality of cheque image print on legacy Personas thermal printers is not as good as in AANDC 3.2,AANDC-6253,- Quality of cheque image print on legacy Personas thermal printers is not as good as in AANDC 3.2
Re-Evaluate the limit of ChequeSizeRotated for vertical cheque image printing,AANDC-6252,- Re-Evaluate the limit of ChequeSizeRotated for vertical cheque image printing
Request for option on cheque accept to never accept cheque without valid MICR,AANDC-6155,- Request for option on cheque accept to never accept cheque without valid MICR
Add a possibility to CPM Close State to leave returned cheque in the ejected position,AANDC-6145,- Add a possibility to CPM Close State to leave returned cheque in the ejected position
SCPM - Multiple Cheque Application Changes,AANDC-5981,- SCPM - Multiple Cheque Application Changes
Vertical printing of a more readable cheque image on receipt as a configurable option in addition to the current horizontal printing,AANDC-5977,- Vertical printing of a more readable cheque image on receipt as a configurable option in addition to the current horizontal printing
Amount entry on same screen as cheque image display,AANDC-5973,- Amount entry on same screen as cheque image display
2ST - 2 Sided Thermal - Support cheque image printing on the reverse - local configuration,AANDC-5970,- 2ST - 2 Sided Thermal - Support cheque image printing on the reverse - local configuration
Support for image based cheque clearing systems - Linkage with payment system solutions (Passport),AANDC-5963,- Support for image based cheque clearing systems - Linkage with payment system solutions (Passport)
There is no documentation regarding the new cheque print functionality,AANDC-5953,- There is no documentation regarding the new cheque print functionality
CPM: B20 reject due to no endorse data is sent only when the cheque is sent to a bin,AANDC-5714,- CPM: B20 reject due to no endorse data is sent only when the cheque is sent to a bin
CPM - Cheque accept state retries also decremented when internal timeout occurs,AANDC-5689,- CPM - Cheque accept state retries also decremented when internal timeout occurs
CPM - no error message is sent when there is a cheque already in the device,AANDC-5687,- CPM - no error message is sent when there is a cheque already in the device
"CPM - when cheque jammed inside (no access), incorrect device status returned",AANDC-5684,"- CPM - when cheque jammed inside (no access), incorrect device status returned"
"CPM - when cheque not taken after eject timeout, flow continues wrongly",AANDC-5681,"- CPM - when cheque not taken after eject timeout, flow continues wrongly"
"CPM - after hardware timer expires, the Cheque Acceptor worker re-enables the cheque entry",AANDC-5680,"- CPM - after hardware timer expires, the Cheque Acceptor worker re-enables the cheque entry"
CPM  - The CHEQUE registry value missing in the receipt printer section of the printer registy configuration files,AANDC-5677,- CPM  - The CHEQUE registry value missing in the receipt printer section of the printer registy configuration files
TAR 332741 - Require the beeping for upon cheque insertion to be disabled earlier,AANDC-5620,- TAR 332741 - Require the beeping for upon cheque insertion to be disabled earlier
TAR 347289 - CPM no longer accepting cheques with no MICR after final retry,AANDC-5619,- TAR 347289 - CPM no longer accepting cheques with no MICR after final retry
TAR 347293: AA-NDC Docs state exception state to be taken when accepting non-MICR cheques,AANDC-5549,- TAR 347293: AA-NDC Docs state exception state to be taken when accepting non-MICR cheques
Support CPM Cheque Image Print (Including rear image),AANDC-5245,- Support CPM Cheque Image Print (Including rear image)
"When cheque is captured, local endorse is required",AANDC-4584,"- When cheque is captured, local endorse is required"
TAR 255036 - Support CPM Cheque Image Print,AANDC-4579,- TAR 255036 - Support CPM Cheque Image Print
TAR 177235 - Incorrectly inserted cheques are accepted,AANDC-4577,- TAR 177235 - Incorrectly inserted cheques are accepted
"Capture the cheque if it fails to be returned to the cardholder, and print a receipt for the cardholder",AANDC-4576,"- Capture the cheque if it fails to be returned to the cardholder, and print a receipt for the cardholder"
Test Case 5.6.2.2 : CPM transaction doesnot show the cheque image,AANDC-3574,- Test Case 5.6.2.2 : CPM transaction doesnot show the cheque image
Option for cheque image print to be added to CPM cheque accept state,AANDC-3013,- Option for cheque image print to be added to CPM cheque accept state
ANDC 4.01.01: Bunch cheque status reporting to journal with single digit transaction serial number,AANDC-2966,- ANDC 4.01.01: Bunch cheque status reporting to journal with single digit transaction serial number
"ChequeAcceptStatusHandler reports q2J(refused cheques are accessible to the customer) instead of q6J( (Jam no customer access).) at "" Cheques jammed in transport on entry Â¿ no access"" scenario.",AANDC-2965,"- ChequeAcceptStatusHandler reports q2J(refused cheques are accessible to the customer) instead of q6J( (Jam no customer access).) at "" Cheques jammed in transport on entry Â¿ no access"" scenario."
Endorse cheques which are being retracted on SCPM,AANDC-2950,- Endorse cheques which are being retracted on SCPM
CI583612: NDC Display Manager FrontChequeImage path value not passed through DMITRData,AANDC-2865,- CI583612: NDC Display Manager FrontChequeImage path value not passed through DMITRData
Cheque: Identify whether cheque is face up or down ,AANDC-2850,- Cheque: Identify whether cheque is face up or down 
Bunch cheque components: improve PD according new PD Collection guidelines,AANDC-2756,- Bunch cheque components: improve PD according new PD Collection guidelines
Voice Guidance Transaction Reply Data not processed by BNA and Cheque Deposit Replies,AANDC-2726,- Voice Guidance Transaction Reply Data not processed by BNA and Cheque Deposit Replies
"Application escaping at close state, while doing a Bunch Cheque Transaction with Bins Missing and Pramote enabled",AANDC-2656,"- Application escaping at close state, while doing a Bunch Cheque Transaction with Bins Missing and Pramote enabled"
CI583612: NDC Display Manager FrontChequeImage path value not passed through DMITRData,AANDC-2529,- CI583612: NDC Display Manager FrontChequeImage path value not passed through DMITRData
TAR 438634 - Request to improve quality of scpm cheque image displayed by AANDC,AANDC-2364,- TAR 438634 - Request to improve quality of scpm cheque image displayed by AANDC
CI 583612  NDC Display Manager FrontChequeImage path value not passed through DMITRData,AANDC-2362,- CI 583612  NDC Display Manager FrontChequeImage path value not passed through DMITRData
Add Support for Endorsing returned cheques (SCPM) - Single Cheque Processor,AANDC-2354,- Add Support for Endorsing returned cheques (SCPM) - Single Cheque Processor
Add Support for Endorsing returned cheques (SCPM) - Bunch Cheque Processor,AANDC-2353,- Add Support for Endorsing returned cheques (SCPM) - Bunch Cheque Processor
Improve scaling of displayed cheque images,AANDC-2350,- Improve scaling of displayed cheque images
Request for bunch cheque amount display to be more configurable,AANDC-2301,- Request for bunch cheque amount display to be more configurable
TAR 574600: Cheque Amount Display control sequences do not provide consistent results,AANDC-2252,- TAR 574600: Cheque Amount Display control sequences do not provide consistent results
TAR 574600: Cheque Amount Display control sequences do not provide consistent results,AANDC-2246,- TAR 574600: Cheque Amount Display control sequences do not provide consistent results
TAR 469338 - Cheque Detail Display State transparent background code issue for Amount Entry,AANDC-2233,- TAR 469338 - Cheque Detail Display State transparent background code issue for Amount Entry
TAR 466954:  Cheque Details Overlay Screen not displayed correctly if screen number < 100,AANDC-2172,- TAR 466954:  Cheque Details Overlay Screen not displayed correctly if screen number < 100
cheques jammed in transport and SDM reports q4J only,AANDC-2165,- cheques jammed in transport and SDM reports q4J only
Application is getting hang in cheques accept state,AANDC-2099,- Application is getting hang in cheques accept state
Bunch Cheque should generate unsolicited messages for WFS_SYS events generated due to operations in other processes even though there is no outstanding WFS command in AANDC,AANDC-2079,- Bunch Cheque should generate unsolicited messages for WFS_SYS events generated due to operations in other processes even though there is no outstanding WFS command in AANDC
SDM - Cash In AER needs to be called before Cheque AER to avoid clearing of notes during cheque recovery,AANDC-1988,- SDM - Cash In AER needs to be called before Cheque AER to avoid clearing of notes during cheque recovery
SDM - Cheque AER might clear notes in device when SDM is configured for cheque and cash transactions,AANDC-1985,- SDM - Cheque AER might clear notes in device when SDM is configured for cheque and cash transactions
Scaling the Cheque Image Before Passing the image to Parascript Engine for better recoginition of Amount Declared on the cheque,AANDC-1984,- Scaling the Cheque Image Before Passing the image to Parascript Engine for better recoginition of Amount Declared on the cheque
IP TAR 463167: State z004 number of cheques refused can't be displayed.,AANDC-1980,- IP TAR 463167: State z004 number of cheques refused can't be displayed.
Application is getting crash/ giving hardware error when try to Deposit cheque with SCPM,AANDC-1941,- Application is getting crash/ giving hardware error when try to Deposit cheque with SCPM
TAR 462108 - Exception raised when nested screen in Bunch Cheque Accept state,AANDC-1894,- TAR 462108 - Exception raised when nested screen in Bunch Cheque Accept state
TAR 462108 - Exception raised when nested screen in Bunch Cheque Accept state,AANDC-1893,- TAR 462108 - Exception raised when nested screen in Bunch Cheque Accept state
Displays - Bunch Cheque Detail Display doesn't handle transparent text when entering amount.,AANDC-1858,- Displays - Bunch Cheque Detail Display doesn't handle transparent text when entering amount.
PA-DSS - cheque processing - ensure cheque images in the upload directory are securely deleted at the end of the transaction,AANDC-1792,- PA-DSS - cheque processing - ensure cheque images in the upload directory are securely deleted at the end of the transaction
In Cheque Detail Display state entered amount is not echoed on the screen,AANDC-1759,- In Cheque Detail Display state entered amount is not echoed on the screen
Scalable Cheque Image Display Fails,AANDC-1631,- Scalable Cheque Image Display Fails
"The application is waiting infinite time after taking the cheques into SCPM device in Bunch Cheque Acceptance State, With Alpha Numeric States.",AANDC-1626,"- The application is waiting infinite time after taking the cheques into SCPM device in Bunch Cheque Acceptance State, With Alpha Numeric States."
SCPM : Cheques with valid codeline also getting rejected when 'RefuseNonValidCheques' property is set to 'True' in AdvanceNDC.accfg file.,AANDC-1618,- SCPM : Cheques with valid codeline also getting rejected when 'RefuseNonValidCheques' property is set to 'True' in AdvanceNDC.accfg file.
SST Config: ItemProcessing1 should be used as BunchCheque AXFS Alias ,AANDC-1573,- SST Config: ItemProcessing1 should be used as BunchCheque AXFS Alias 
